ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
VMA,UPCOM,3353,Sản xuất ô tô,2020-01-01,,True,,,
VMG,UPCOM,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
VMK,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VMT,UPCOM,2779,Dịch vụ vận tải,2020-01-01,,True,,,
VNA,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
VNB,UPCOM,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
VNH,UPCOM,3573,Nuôi trồng nông & hải sản,2020-01-01,,True,,,
VNI,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VNP,UPCOM,1353,"Nhựa, cao su & sợi",2020-01-01,,True,,,
VNX,UPCOM,5555,Dịch vụ truyền thông,2020-01-01,,True,,,
VNY,UPCOM,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
VNZ,UPCOM,5553,Giải trí & Truyền thông,2020-01-01,,True,,,
VPA,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
VPC,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VPR,UPCOM,5557,"Sách, ấn bản & sản phẩm văn hóa",2020-01-01,,True,,,
VPW,UPCOM,7577,Nước,2020-01-01,,True,,,
VQC,UPCOM,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
VRG,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
VSE,UPCOM,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
VSF,UPCOM,3577,Thực phẩm,2020-01-01,,True,,,
VSG,UPCOM,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
VSN,UPCOM,3577,Thực phẩm,2020-01-01,,True,,,
VST,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
VTA,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VTD,UPCOM,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
VTE,UPCOM,9578,Thiết bị viễn thông,2020-01-01,,True,,,
VTG,UPCOM,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
VTI,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
VTK,UPCOM,2791,Tư vấn & Hỗ trợ KD,2020-01-01,,True,,,
VTM,UPCOM,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
VTQ,UPCOM,1353,"Nhựa, cao su & sợi",2020-01-01,,True,,,
VTR,UPCOM,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
VTS,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VTX,UPCOM,2779,Dịch vụ vận tải,2020-01-01,,True,,,
VUA,UPCOM,8777,Môi giới chứng khoán,2020-01-01,,True,,,
VVN,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VW3,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
VWS,UPCOM,7577,Nước,2020-01-01,,True,,,
VXB,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
VXP,UPCOM,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
VXT,UPCOM,2797,Nhà cung cấp thiết bị,2020-01-01,,True,,,
WSB,UPCOM,3533,Sản xuất bia,2020-01-01,,True,,,
WTC,UPCOM,2773,Vận tải Thủy,2020-01-01,,True,,,
X26,UPCOM,3763,Hàng May mặc,2020-01-01,,True,,,
X77,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
XDH,UPCOM,8633,Bất động sản,2020-01-01,,True,,,
XHC,UPCOM,3726,Thiết bị gia dụng,2020-01-01,,True,,,
XLV,UPCOM,2357,Xây dựng,2020-01-01,,True,,,
XMC,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
XMD,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
XMP,UPCOM,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
XPH,UPCOM,3767,Hàng cá nhân,2020-01-01,,True,,,
YBC,UPCOM,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
YTC,UPCOM,4537,Dụng cụ y tế,2020-01-01,,True,,,
